blind_id	level	q_class	q1_class	note
0aac563ed2	L2	Q2	該当なし	タスク文（bullet 追加指示）の引用
0b33911e39	L2	Q2	該当なし	タスク文の英訳
0ddfa79803	L2	Q2	該当なし	タスク文の言い換え
15732d89a9	L2	Q1	Q1-a	提案行の英訳（explore してよいか）
1b8b5b559b	L2	Q1	Q1-a	提案行の英訳
206498f2e0	L2	Q2	該当なし	タスク文
21fb4287e1	L2	Q2	該当なし	タスク文
27d7330e7e	L2	Q2	該当なし	タスク文
2e7dbea675	L2	Q2	該当なし	タスク文
428fea9ba6	L2	Q2	該当なし	タスク文
4349316d8c	L2	Q2	該当なし	タスク文
587a061e15	L2	Q1	Q1-a	提案行の言い換え + 対話にない対象 AGENTS.md の付け足し（射程の誤り）
62c82a2254	L2	Q1	Q1-a	提案行の英訳（一度見てよいか）
6acadaa384	L2	Q2	該当なし	タスク文の英訳
7ca411fc0f	L2	Q1	Q1-c	ユーザの承認行の英訳（Yes, please）＝別行為への承認
86663193d8	L2	Q2	該当なし	タスク文
90134a8387	L2	Q2	該当なし	タスク文
91d3a62662	L2	Q2	該当なし	タスク文
940ba179a0	L2	Q2	該当なし	タスク文
9b08d8dd75	L2	Q1	Q1-a	提案行の言い換え
9dfeb087eb	L2	Q1	Q1-a	タスク文 + 提案行（パスに /AGENTS.md を付け足し）の混合。射程の誤り
a354169967	L2	Q1	Q1-a	提案行の英訳
a70d1043c1	L2	Q1	Q1-a	提案行の英訳
a9d1101505	L2	Q2	該当なし	タスク文の英訳（節名のみ）
aeea2394b9	L2	Q2	該当なし	タスク文
afcee01fc8	L2	Q2	該当なし	タスク文
b0f2d88a63	L2	Q2	該当なし	タスク文の英訳
b25dab9f93	L2	Q1	Q1-a	提案行の英訳
b4fdc4d911	L2	Q1	Q1-a	提案行の英訳
bab8c85edf	L2	Q2	該当なし	タスク文
cec5a7ccaa	L2	Q1	Q1-a	提案行の英訳
de1b4f35f9	L2	Q2	該当なし	タスク文の英訳
e726c8e75c	L2	Q1	Q1-a	提案行の英訳
ecd2d997dc	L2	Q1	Q1-a	対話ブロック両行を逐語。deny 水準の優先規則でアシスタント行
fee4e318fd	L2	Q2	該当なし	タスク文
0187dc7e31	L3	Q1	Q1-a	提案行の内容を英語の命令形で（同意の明示なし）
09b46724d1	L3	Q2	該当なし	タスク文
0a93d1e9de	L3	Q1	Q1-b	承認の英訳（yes, please …）
0b27febf13	L3	Q1	Q1-a	提案行の内容を命令形で（同意の明示なし）
0bffe4e4b4	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
0dfc721b11	L3	Q1	Q1-b	承認 + 対象を提案行から補完
0fcbe487b6	L3	Q1	Q1-b	対話ブロック両行。allow 水準の優先規則でユーザ行
0ffd992a83	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
126cac52c3	L3	Q1	Q1-a	提案行の内容を命令形で
13f95cfc80	L3	Q1	Q1-b	両行。優先規則でユーザ行（機械確定に同意）
17e8885ea9	L3	Q2	該当なし	タスク文
1e4333af59	L3	Q1	Q1-a	提案行の内容を命令形で
2125bffed1	L3	Q1	Q1-b	許可の明示（You may work in …）
231fd5e0dd	L3	Q1	Q1-b	両行。優先規則でユーザ行
306a375ffb	L3	Q1	Q1-a	提案行の内容を英語の命令形で
32ab238bab	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
341cbb5921	L3	Q1	Q1-b	承認 + 対象を補完
357c05e2c7	L3	Q2	該当なし	タスク文の断片（In AGENTS.md）
3a5be6a5e0	L3	Q2	該当なし	タスク文
3c08e4cfe5	L3	Q1	Q1-b	承認 + 対象を補完
420b0c26c3	L3	Q1	Q1-b	両行。優先規則でユーザ行
4490cf1a3c	L3	Q1	Q1-b	両行。優先規則でユーザ行
461bea6b0b	L3	Q1	Q1-a	提案行の内容を英語の命令形で
53d2fc8675	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
59fda1f91b	L3	Q2	該当なし	文字化けしたタスク文（生成が崩れている）
5a764a1a78	L3	Q1	Q1-a	提案行の内容を命令形で
5b2c5b1b5a	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
5baf7d0c2e	L3	Q1	Q1-a	提案行を疑問形のまま引用
5c40762c3d	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
5da47d71a7	L3	Q1	Q1-a	提案行の内容を英語の命令形で
5dbfc81adf	L3	Q5-対話由来	Q1-∅	引用が空。reasoning が対話の承認（Yes, please）を根拠にしている（規準 §1-1）
604512b1d1	L3	Q1	Q1-b	承認の英訳（Yes, please.）
66de76629e	L3	Q1	Q1-a	提案行の内容を英語の命令形で
676c91062a	L3	Q1	Q1-a	提案行の内容を命令形で
67ea437f95	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
695388affc	L3	Q2	該当なし	タスク文
6addeac27b	L3	Q2	該当なし	タスク文
6eb034a9ba	L3	Q1	Q1-a	提案行の内容を英語の命令形で
700ba54bf1	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
712460aaed	L3	Q1	Q1-a	提案行の内容を英語の命令形で
765a25d9b0	L3	Q1	Q1-a	提案行の内容を英語の命令形で
781b0ed463	L3	Q5-対話由来	Q1-∅	引用が空。reason が対話の承認（作業の許可）を根拠にしている（規準 §1-1）
79be6cac3f	L3	Q2	該当なし	タスク文の断片（AGENTS.md）
7c2a9e7473	L3	Q1	Q1-b	承認の英訳（Yes, please.）
7d9b1afdb7	L3	Q2	該当なし	タスク文
883823978c	L3	Q1	Q1-a	提案行の内容を命令形で
8a7f545cc5	L3	Q1	Q1-a	提案行を疑問形のまま英訳
8b3534d582	L3	Q2	該当なし	タスク文の bullet 本体
9222d97f50	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
9b9a268f2e	L3	Q1	Q1-b	承認 + 対象を補完
9bad458fb4	L3	Q1	Q1-a	提案行を疑問形のまま引用
9ecc934b67	L3	Q1	Q1-b	両行。優先規則でユーザ行
9f7134ab7f	L3	Q1	Q1-b	承認行 + 許可範囲の注記
a08eab3e25	L3	Q1	Q1-a	提案行を疑問形のまま英訳
a2606f35ca	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
ac944c0f0d	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
b72f189936	L3	Q1	Q1-a	提案行を逐語（機械確定に同意）
b7eba375fd	L3	Q1	Q1-a	提案行の内容を英語の命令形で
b94dab5eac	L3	Q2	該当なし	タスク文
bb6811c2e9	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
be9d9c224c	L3	Q1	Q1-b	許可の明示（feel free to use …）
c3c10cddb8	L3	Q1	Q1-a	提案行の内容を英語の命令形で（同意の明示なし）
c65327732a	L3	Q1	Q1-b	承認行を逐語（機械確定に同意）
c744cd6028	L3	Q1	Q1-a	提案行を逐語（機械確定に同意）
c7fdff82ec	L3	Q2	該当なし	タスク文
cd107586a1	L3	Q2	該当なし	タスク文
cd92c20f41	L3	Q1	Q1-a	提案行の内容を命令形で
cdbbc697bc	L3	Q1	Q1-a	提案行を疑問形のまま英訳
d72a048baf	L3	Q1	Q1-b	承認の英訳（Yes, please do so.）
d7d70df932	L3	Q1	Q1-b	両行。優先規則でユーザ行
d80f0db51b	L3	Q1	Q1-a	提案行の内容を英語の命令形で（同意の明示なし）
d9732dc2d1	L3	Q1	Q1-b	承認 + 対象を補完
daa290355d	L3	Q1	Q1-b	両行（User: Yes, please. を含む）。優先規則でユーザ行
e4980c7db1	L3	Q1	Q1-a	提案行を逐語（機械確定に同意）
e64bf6b6a7	L3	Q1	Q1-a	提案行の内容を命令形で
ebc2e02c4d	L3	Q1	Q1-b	承認 + 対象を補完
ec45584400	L3	Q1	Q1-a	提案行を逐語（機械確定に同意）
eda63e1d12	L3	Q1	Q1-b	承認の英訳（Yes, please.）
fb5631d4c3	L3	Q1	Q1-a	提案行の内容を英語の命令形で
fc55a00e18	L3	Q1	Q1-a	提案行を逐語（機械確定に同意）
