task	pattern	trial	transition	gem	build	diff_files	diff_ins	test_pass	functional	score	correct	idiom	complete	testq
search	selfplan	search-selfplan-r1	self_exit	-	6m40s	5	50	yes	yes	4	4	4	4	4
search	selfplan	search-selfplan-r2	self_exit	-	5m20s	5	51	yes	yes	4	4	4	4	4
search	selfplan	search-selfplan-r3	self_exit	-	4m20s	5	39	yes	yes	5	5	5	5	4
search	selfplan	search-selfplan-r4	self_exit	-	3m20s	0	0	yes	NO	1	1	2	1	1
search	selfplan	search-selfplan-r5	self_exit	-	14m40s	7	136	yes	yes	5	5	4	5	5
search	givenplan	search-givenplan-r1	self_exit	-	9m0s	5	69	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r2	self_exit	-	7m20s	5	47	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r3	self_exit	-	7m0s	5	40	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r4	self_exit	-	11m20s	5	56	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r5	self_exit	-	6m0s	5	51	yes	yes	5	5	5	5	5
page	selfplan	page-selfplan-r1	self_exit	kaminari	6m0s	4	19	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r2	self_exit	kaminari	14m20s	5	74	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r3	self_exit	pagy 8.6.3	8m0s	6	46	yes	yes	4	5	4	5	4
page	selfplan	page-selfplan-r4	self_exit	pagy 8.6.3	6m0s	5	32	yes	yes	4	5	4	5	4
page	selfplan	page-selfplan-r5	self_exit	kaminari	5m40s	4	20	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r1	self_exit	kaminari	48m20s	4	18	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r2	self_exit	kaminari	29m40s	4	19	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r3	self_exit	kaminari	10m20s	4	19	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r4	self_exit	kaminari	36m40s	4	18	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r5	self_exit	kaminari	4m0s	4	18	yes	yes	5	5	5	5	4
