# timestamp,index,utilization.gpu,memory.used,power.draw (per-row)
2026/05/02 07:57:29.239, 0, 0 %, 14837 MiB, 52.72 W
2026/05/02 07:57:29.242, 1, 0 %, 14443 MiB, 44.91 W
2026/05/02 07:57:29.245, 2, 0 %, 11819 MiB, 61.06 W
2026/05/02 07:57:29.248, 3, 0 %, 15363 MiB, 40.32 W
2026/05/02 07:57:40.271, 0, 49 %, 15157 MiB, 55.32 W
2026/05/02 07:57:40.274, 1, 0 %, 14443 MiB, 39.26 W
2026/05/02 07:57:40.277, 2, 0 %, 11819 MiB, 60.97 W
2026/05/02 07:57:40.280, 3, 0 %, 15363 MiB, 40.51 W
2026/05/02 07:57:51.357, 0, 43 %, 15185 MiB, 55.78 W
2026/05/02 07:57:51.360, 1, 0 %, 14557 MiB, 45.79 W
2026/05/02 07:57:51.363, 2, 0 %, 11933 MiB, 65.80 W
2026/05/02 07:57:51.366, 3, 4 %, 15477 MiB, 47.53 W
2026/05/02 07:58:02.772, 0, 19 %, 15185 MiB, 57.11 W
2026/05/02 07:58:02.775, 1, 16 %, 14557 MiB, 71.06 W
2026/05/02 07:58:02.778, 2, 17 %, 11933 MiB, 111.20 W
2026/05/02 07:58:02.781, 3, 22 %, 15477 MiB, 57.92 W
2026/05/02 07:58:13.829, 0, 0 %, 15185 MiB, 46.33 W
2026/05/02 07:58:13.832, 1, 0 %, 14557 MiB, 46.55 W
2026/05/02 07:58:13.835, 2, 0 %, 11933 MiB, 66.82 W
2026/05/02 07:58:13.840, 3, 0 %, 15477 MiB, 40.99 W
2026/05/02 07:58:24.972, 0, 0 %, 15185 MiB, 55.22 W
2026/05/02 07:58:24.977, 1, 94 %, 14557 MiB, 112.44 W
2026/05/02 07:58:24.980, 2, 0 %, 11933 MiB, 65.97 W
2026/05/02 07:58:24.983, 3, 0 %, 15477 MiB, 47.49 W
2026/05/02 07:58:36.117, 0, 57 %, 15185 MiB, 57.23 W
2026/05/02 07:58:36.120, 1, 0 %, 14557 MiB, 46.28 W
2026/05/02 07:58:36.123, 2, 0 %, 11933 MiB, 67.50 W
2026/05/02 07:58:36.126, 3, 0 %, 15477 MiB, 48.04 W
2026/05/02 07:58:47.188, 0, 48 %, 15187 MiB, 58.45 W
2026/05/02 07:58:47.191, 1, 0 %, 14557 MiB, 46.28 W
2026/05/02 07:58:47.194, 2, 0 %, 11933 MiB, 63.62 W
2026/05/02 07:58:47.197, 3, 10 %, 15477 MiB, 47.55 W
2026/05/02 07:58:58.264, 0, 59 %, 15187 MiB, 119.45 W
2026/05/02 07:58:58.267, 1, 0 %, 14557 MiB, 46.22 W
2026/05/02 07:58:58.270, 2, 0 %, 11933 MiB, 65.72 W
2026/05/02 07:58:58.274, 3, 0 %, 15477 MiB, 47.25 W
2026/05/02 07:59:09.704, 0, 49 %, 15187 MiB, 57.23 W
2026/05/02 07:59:09.707, 1, 4 %, 14557 MiB, 46.77 W
2026/05/02 07:59:09.710, 2, 0 %, 11933 MiB, 65.81 W
2026/05/02 07:59:09.713, 3, 0 %, 15477 MiB, 47.55 W
2026/05/02 07:59:20.806, 0, 51 %, 15189 MiB, 79.26 W
2026/05/02 07:59:20.809, 1, 0 %, 14557 MiB, 46.49 W
2026/05/02 07:59:20.812, 2, 10 %, 11933 MiB, 66.50 W
2026/05/02 07:59:20.815, 3, 0 %, 15477 MiB, 47.55 W
2026/05/02 07:59:31.860, 0, 0 %, 15189 MiB, 55.67 W
2026/05/02 07:59:31.863, 1, 0 %, 14557 MiB, 46.22 W
2026/05/02 07:59:31.866, 2, 0 %, 11933 MiB, 62.96 W
2026/05/02 07:59:31.869, 3, 94 %, 15477 MiB, 155.44 W
2026/05/02 07:59:42.993, 0, 0 %, 15189 MiB, 56.67 W
2026/05/02 07:59:42.996, 1, 94 %, 14557 MiB, 108.13 W
2026/05/02 07:59:42.999, 2, 0 %, 11933 MiB, 64.99 W
2026/05/02 07:59:43.002, 3, 0 %, 15477 MiB, 47.49 W
2026/05/02 07:59:54.061, 0, 48 %, 15191 MiB, 58.45 W
2026/05/02 07:59:54.064, 1, 0 %, 14557 MiB, 46.52 W
2026/05/02 07:59:54.068, 2, 11 %, 11933 MiB, 65.57 W
2026/05/02 07:59:54.071, 3, 0 %, 15477 MiB, 46.83 W
2026/05/02 08:00:05.162, 0, 54 %, 15191 MiB, 57.97 W
2026/05/02 08:00:05.166, 1, 0 %, 14557 MiB, 46.28 W
2026/05/02 08:00:05.169, 2, 0 %, 11933 MiB, 66.53 W
2026/05/02 08:00:05.172, 3, 0 %, 15477 MiB, 47.55 W
2026/05/02 08:00:16.656, 0, 59 %, 15191 MiB, 120.91 W
2026/05/02 08:00:16.659, 1, 0 %, 14557 MiB, 46.25 W
2026/05/02 08:00:16.662, 2, 0 %, 11933 MiB, 53.82 W
2026/05/02 08:00:16.666, 3, 0 %, 15477 MiB, 47.73 W
2026/05/02 08:00:27.796, 0, 56 %, 15191 MiB, 57.97 W
2026/05/02 08:00:27.800, 1, 10 %, 14557 MiB, 47.99 W
2026/05/02 08:00:27.803, 2, 0 %, 11933 MiB, 63.61 W
2026/05/02 08:00:27.806, 3, 0 %, 15477 MiB, 47.55 W
2026/05/02 08:00:39.058, 0, 54 %, 15191 MiB, 98.78 W
2026/05/02 08:00:39.061, 1, 0 %, 14557 MiB, 46.25 W
2026/05/02 08:00:39.064, 2, 10 %, 11933 MiB, 66.99 W
2026/05/02 08:00:39.067, 3, 0 %, 15477 MiB, 47.55 W
2026/05/02 08:00:50.097, 0, 0 %, 15191 MiB, 55.67 W
2026/05/02 08:00:50.100, 1, 0 %, 14557 MiB, 45.98 W
2026/05/02 08:00:50.103, 2, 0 %, 11933 MiB, 66.20 W
2026/05/02 08:00:50.106, 3, 94 %, 15477 MiB, 118.21 W
2026/05/02 08:01:01.153, 0, 41 %, 15191 MiB, 57.09 W
2026/05/02 08:01:01.158, 1, 88 %, 14557 MiB, 161.05 W
2026/05/02 08:01:01.161, 2, 0 %, 11933 MiB, 54.00 W
2026/05/02 08:01:01.164, 3, 0 %, 15477 MiB, 47.95 W
2026/05/02 08:01:12.274, 0, 48 %, 15191 MiB, 114.42 W
2026/05/02 08:01:12.277, 1, 0 %, 14557 MiB, 46.22 W
2026/05/02 08:01:12.280, 2, 0 %, 11933 MiB, 64.51 W
2026/05/02 08:01:12.283, 3, 0 %, 15477 MiB, 47.73 W
2026/05/02 08:01:23.875, 0, 52 %, 15191 MiB, 55.91 W
2026/05/02 08:01:23.879, 1, 0 %, 14557 MiB, 45.98 W
2026/05/02 08:01:23.882, 2, 0 %, 11933 MiB, 66.20 W
2026/05/02 08:01:23.885, 3, 64 %, 15477 MiB, 114.08 W
2026/05/02 08:01:34.929, 0, 11 %, 15191 MiB, 101.40 W
2026/05/02 08:01:34.932, 1, 39 %, 14557 MiB, 46.95 W
2026/05/02 08:01:34.938, 2, 0 %, 11933 MiB, 66.70 W
2026/05/02 08:01:34.941, 3, 0 %, 15477 MiB, 48.01 W
2026/05/02 08:01:46.056, 0, 39 %, 15191 MiB, 56.72 W
2026/05/02 08:01:46.061, 1, 0 %, 14557 MiB, 45.55 W
2026/05/02 08:01:46.066, 2, 26 %, 11933 MiB, 67.75 W
2026/05/02 08:01:46.069, 3, 0 %, 15477 MiB, 48.28 W
2026/05/02 08:01:57.208, 0, 96 %, 15191 MiB, 155.68 W
2026/05/02 08:01:57.211, 1, 0 %, 14557 MiB, 45.46 W
2026/05/02 08:01:57.214, 2, 0 %, 11933 MiB, 63.77 W
2026/05/02 08:01:57.216, 3, 0 %, 15477 MiB, 48.95 W
2026/05/02 08:02:08.472, 0, 18 %, 15191 MiB, 87.98 W
2026/05/02 08:02:08.476, 1, 17 %, 14557 MiB, 75.68 W
2026/05/02 08:02:08.479, 2, 19 %, 11933 MiB, 70.97 W
2026/05/02 08:02:08.481, 3, 26 %, 15477 MiB, 52.78 W
2026/05/02 08:02:19.621, 0, 48 %, 15191 MiB, 58.70 W
2026/05/02 08:02:19.624, 1, 0 %, 14557 MiB, 39.24 W
2026/05/02 08:02:19.627, 2, 0 %, 11933 MiB, 76.29 W
2026/05/02 08:02:19.630, 3, 0 %, 15477 MiB, 40.75 W
2026/05/02 08:02:31.125, 0, 56 %, 15191 MiB, 57.23 W
2026/05/02 08:02:31.128, 1, 0 %, 14557 MiB, 45.55 W
2026/05/02 08:02:31.131, 2, 0 %, 11933 MiB, 67.02 W
2026/05/02 08:02:31.137, 3, 0 %, 15477 MiB, 48.78 W
2026/05/02 08:02:42.173, 0, 0 %, 15191 MiB, 56.26 W
2026/05/02 08:02:42.178, 1, 95 %, 14557 MiB, 51.36 W
2026/05/02 08:02:42.181, 2, 0 %, 11933 MiB, 65.07 W
2026/05/02 08:02:42.186, 3, 0 %, 15477 MiB, 48.04 W
2026/05/02 08:02:53.254, 0, 39 %, 15191 MiB, 64.26 W
2026/05/02 08:02:53.257, 1, 0 %, 14557 MiB, 45.79 W
2026/05/02 08:02:53.262, 2, 34 %, 11933 MiB, 68.48 W
2026/05/02 08:02:53.265, 3, 0 %, 15477 MiB, 47.80 W
2026/05/02 08:03:04.421, 0, 0 %, 15191 MiB, 55.11 W
2026/05/02 08:03:04.424, 1, 0 %, 14557 MiB, 45.67 W
2026/05/02 08:03:04.427, 2, 0 %, 11933 MiB, 66.81 W
2026/05/02 08:03:04.430, 3, 92 %, 15477 MiB, 191.32 W
2026/05/02 08:03:15.505, 0, 50 %, 15191 MiB, 60.37 W
2026/05/02 08:03:15.508, 1, 10 %, 14557 MiB, 46.28 W
2026/05/02 08:03:15.511, 2, 0 %, 11933 MiB, 66.53 W
2026/05/02 08:03:15.514, 3, 0 %, 15477 MiB, 48.29 W
2026/05/02 08:03:26.581, 0, 48 %, 15191 MiB, 69.48 W
2026/05/02 08:03:26.584, 1, 0 %, 14557 MiB, 45.98 W
2026/05/02 08:03:26.587, 2, 0 %, 11933 MiB, 63.78 W
2026/05/02 08:03:26.590, 3, 0 %, 15477 MiB, 86.09 W
2026/05/02 08:03:38.024, 0, 0 %, 15191 MiB, 56.43 W
2026/05/02 08:03:38.027, 1, 95 %, 14557 MiB, 108.13 W
2026/05/02 08:03:38.031, 2, 0 %, 11933 MiB, 66.21 W
2026/05/02 08:03:38.033, 3, 0 %, 15477 MiB, 48.46 W
2026/05/02 08:03:49.036, 0, 46 %, 15191 MiB, 59.88 W
2026/05/02 08:03:49.040, 1, 0 %, 14557 MiB, 46.03 W
2026/05/02 08:03:49.043, 2, 10 %, 11933 MiB, 67.75 W
2026/05/02 08:03:49.046, 3, 0 %, 15477 MiB, 47.79 W
2026/05/02 08:04:00.085, 0, 14 %, 15191 MiB, 116.78 W
2026/05/02 08:04:00.088, 1, 0 %, 14557 MiB, 45.97 W
2026/05/02 08:04:00.091, 2, 0 %, 11933 MiB, 66.45 W
2026/05/02 08:04:00.094, 3, 94 %, 15477 MiB, 49.92 W
2026/05/02 08:04:11.177, 0, 0 %, 15191 MiB, 57.23 W
2026/05/02 08:04:11.180, 1, 95 %, 14557 MiB, 48.96 W
2026/05/02 08:04:11.184, 2, 0 %, 11933 MiB, 54.14 W
2026/05/02 08:04:11.187, 3, 0 %, 15477 MiB, 48.07 W
2026/05/02 08:04:22.271, 0, 49 %, 15191 MiB, 84.56 W
2026/05/02 08:04:22.274, 1, 0 %, 14557 MiB, 46.03 W
2026/05/02 08:04:22.277, 2, 10 %, 11933 MiB, 67.23 W
2026/05/02 08:04:22.280, 3, 0 %, 15477 MiB, 48.04 W
