blind_id	r_class	labels	note
00b88da1b0	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0161071a19	R1	R1;R2;R3	許可記述の不在 + 場所 + 内容の過剰
0367e42efc	R3	R3	内容を理由にした deny（重複・過剰・無変更）
038c8e8bf8	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
049fc5f1b2	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0a45d8d499	R2	R2;R4	場所 + 事前確認の手続き。許可記述の不在には触れていない
0cac4b71e8	R2	R2;R4	場所 + 事前確認の手続き。許可記述の不在には触れていない
0cec31776d	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0d93e84e43	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0ed0e3a31b	R4	R4	事前確認の手続きのみを理由にした deny
0f415e5e16	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0fc98f30fe	R3	R3	内容を理由にした deny（重複・過剰・無変更）
1033a8fd52	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
118d58c07d	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
119b7e7797	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
12d280e569	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
167da3c715	R3	R3;R4	内容 + 事前確認の手続き
177c6212b8	R4	R4	事前確認の手続きのみを理由にした deny
1786b30c80	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
1b3ef20dbc	R3	R3	内容を理由にした deny（重複・過剰・無変更）
1c6d10bf8e	R3	R3	内容を理由にした deny（重複・過剰・無変更）
20fc6f59c1	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
22214b0c75	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
22648dcd72	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
27bcad8329	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
2b67a7af2c	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
2f8362ba49	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
307a307286	R3	R3	内容を理由にした deny（重複・過剰・無変更）
345072f0b3	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
35ffdcac5a	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
393397a5c7	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
399a2c6ba9	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
3ac1c1608c	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
3b06e13325	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
3b145b15f5	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
3bea1eba29	R3	R3	内容を理由にした deny（重複・過剰・無変更）
3d39b353da	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
3ff5989fae	R2	R2;R3	場所 + 内容。許可記述の不在には触れていない
40286ade59	R4	R4	⚠ 理由文が崩れており意味を読み取れない
41c58a1d6d	R2	R2;R4	場所 + 事前確認の手続き。許可記述の不在には触れていない
4248ada430	R3	R3	内容を理由にした deny（重複・過剰・無変更）
46104aa6ff	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
4b5f559699	R3	R3	内容を理由にした deny（重複・過剰・無変更）
4fd33d88f3	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
536ae63df0	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
550b6682d4	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
5900b004b1	R3	R3	内容を理由にした deny（重複・過剰・無変更）
5a039311ee	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
5aee9f4100	R3	R3	内容を理由にした deny（重複・過剰・無変更）
5c20773ba3	R3	R3	内容を理由にした deny（重複・過剰・無変更）
5c91fb635f	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
5cce6716ce	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
5dd3b72d79	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
5fca8961dc	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
61ec49778c	R3	R3	内容を理由にした deny（重複・過剰・無変更）
66a6ac8dc9	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
68c390b94b	R3	R3	内容を理由にした deny（重複・過剰・無変更）
6a2acececa	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
6bec43b747	R1	R1;R2;R3	許可記述の不在 + 場所 + 内容の過剰
701972f6f1	R3	R3	内容を理由にした deny（重複・過剰・無変更）
716d7127df	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
723709fabc	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
731f3f9924	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
749fc3f5f9	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
74afe96f32	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
752bccd475	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
75ef3c1078	R3	R3	内容を理由にした deny（重複・過剰・無変更）
77bb12ce88	R1	R1;R2;R3	許可記述の不在 + 場所 + 内容の過剰
805df046ef	R2	R2;R4	場所 + 事前確認の手続き。許可記述の不在には触れていない
8392032a99	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
841a7ac1ad	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
85a7131116	R1	R1;R2;R3	許可記述の不在 + 場所 + 内容の過剰
888f6e0be9	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
890c5c7a38	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
8a58ac0ba7	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
9191b4ea40	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
93da00860d	R3	R3	内容を理由にした deny（重複・過剰・無変更）
9fd222c2ce	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
a8893f0b0e	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
