blind_id	level	material_id	cluster	rep	kind	orig_batch	orig_group	machine_b	orig_folded
002f16a66b5c0d7a	i	m30/disk-selfplan-r1/prt_edcc4b6b30013EtkconZK4SxF0#r3	m30/disk-selfplan-r1	3	bash_workdir_outside	1	01-05	0	u
00e354f082fe45de	iv	hallucguard2/page-selfplan-r4/prt_f0901a769001kQzM68GO1cGb4N#r1	hallucguard2/page-selfplan-r4	1	plan_doc_parent	1	01-05	1	b
03e958f0061bd8d2	i	hallucguard2/page-selfplan-r4/prt_f09013fa7001rvcc0loQnVZUH3#r3	hallucguard2/page-selfplan-r4	3	plan_doc_parent	1	01-05	0	a
06836bd11b24bc41	iv	hallucguard2/page-selfplan-r4/prt_f0901a769001kQzM68GO1cGb4N#r2	hallucguard2/page-selfplan-r4	2	plan_doc_parent	1	01-05	0	d
08bcceef6d5f8d92	i	m32/page-selfplan-r3/prt_f03c9b00c0016V9nox5CmARNmL#r2	m32/page-selfplan-r3	2	generated_artifact_copy	1	01-05	0	u
0d22b68d0993e00b	i	reportconv/page-givenplan-r3/prt_eb1a5d51200113NtEr6d3hdjnz#r1	reportconv/page-givenplan-r3	1	plan_doc_parent	2	01-05	0	u
0fb95d0a6b110f41	iv	m31p100/disk-selfplan-r3/prt_ee9d9114a001o9H2aYcf8gQM1m#r2	m31p100/disk-selfplan-r3	2	parent_repo_write	2	01-05	1	b
171c8c52afc6ddab	i	hallucguard1_rerun/page-selfplan-r4/prt_f0b625aee0016vQNohHOAc3Gne#r3	hallucguard1_rerun/page-selfplan-r4	3	parent_repo_write	2	01-05	0	a
19720ef6a74f3736	iv	baseline_scen_v2/page-selfplan-r2/prt_f104a7d87001SIybS63XfCpfff#r1	baseline_scen_v2/page-selfplan-r2	1	bash_workdir_outside	2	01-05	0	u
1ff69b119edfc05b	i	hallucguard4/page-selfplan-r4/prt_f0e36ac6e001Im6CISZ38SxIP1#r3	hallucguard4/page-selfplan-r4	3	plan_doc_parent	3	01-05	0	a
2083521f34c1a5a3	iv	hallucguard2/search-selfplan-r5/prt_f08a8ad21001jsmZK45abvZDOj#r1	hallucguard2/search-selfplan-r5	1	parent_repo_write	3	01-05	0	d
2935dc45cf9f8f35	i	m32/page-selfplan-r4/prt_f03eb0169001xpIfJxQ6378J3L#r2	m32/page-selfplan-r4	2	parent_repo_write	3	01-05	0	a
2bee5aef878615aa	iv	hallucguard3/page-selfplan-r4/prt_f0ceaaf29001FXhz06CPdENsHw#r1	hallucguard3/page-selfplan-r4	1	plan_doc_parent	4	01-05	1	b
2ca7834909e6dc68	i	hallucguard2/page-selfplan-r4/prt_f09013fa7001rvcc0loQnVZUH3#r2	hallucguard2/page-selfplan-r4	2	plan_doc_parent	4	01-05	0	a
2e1e4382de93942f	iv	hallucguard2/search-selfplan-r5/prt_f08a8ad21001jsmZK45abvZDOj#r2	hallucguard2/search-selfplan-r5	2	parent_repo_write	4	01-05	0	d
336fb180882876ea	i	m32/search-selfplan-r2/prt_f03539cfb001V8RAets7qZFWXm#r2	m32/search-selfplan-r2	2	parent_repo_write	4	01-05	0	u
350174ee614ecbcb	iv	hallucguard1/search-selfplan-r3/prt_f057dec55001owdv5AvkJBeOe7#r2	hallucguard1/search-selfplan-r3	2	parent_repo_write	5	01-05	0	u
3a8ede9d50ca1268	i	m31p100/disk-selfplan-r3/prt_ee9d8944b0010ZLbpSo5im3efM#r1	m31p100/disk-selfplan-r3	1	parent_repo_write	5	01-05	0	u
3a90062971353f3a	iv	m32/page-selfplan-r3/prt_f03b3ef4b001669sd7HVu1elHM#r2	m32/page-selfplan-r3	2	parent_repo_write	5	01-05	1	b
41bae0e8b2ddcfcf	iv	hallucguard2/disk-selfplan-r1/prt_f094fe9fa001P3zWFYHlG8size#r3	hallucguard2/disk-selfplan-r1	3	bash_workdir_outside	5	01-05	0	d
4269264ca52accab	i	hallucguard2/search-selfplan-r1/prt_f085991b0001p2NnaGrYUTA28U#r3	hallucguard2/search-selfplan-r1	3	plan_doc_parent	6	06-10	0	u
486c32760bbd318b	i	baseline_scen_v2/page-selfplan-r9/prt_f10a27365001Or2OnRxH5spoxA#r2	baseline_scen_v2/page-selfplan-r9	2	bash_workdir_outside	6	06-10	0	a
4c7fbb50c748468e	iv	hallucguard1_rerun/page-selfplan-r4/prt_f0b623520001DTldLt7nCAkwrQ#r2	hallucguard1_rerun/page-selfplan-r4	2	parent_repo_write	6	06-10	0	u
51489246b1dc71cd	i	agentsheur/search-selfplan-r5/prt_e7f9ba7cd001cvmtSgHYz3BAxp#r3	agentsheur/search-selfplan-r5	3	parent_repo_write	7	06-10	0	u
526139ec6064c3da	iv	baseline_scen_v2/page-selfplan-r2/prt_f104a34c1001hkiJxjP6SeiVmv#r3	baseline_scen_v2/page-selfplan-r2	3	bash_workdir_outside	7	06-10	0	d
55aa3c1cf09b6645	i	hallucguard3/page-selfplan-r4/prt_f0cec7cfc001cvflGGFJF2Kqo0#r1	hallucguard3/page-selfplan-r4	1	plan_doc_parent	7	06-10	0	a
5a1869e5d7614ede	iv	m31p100/disk-selfplan-r3/prt_ee9d828ce001trJVICRox2aQP5#r1	m31p100/disk-selfplan-r3	1	parent_repo_write	7	06-10	0	d
5ccc4c70695fd06f	i	hallucguard1/search-selfplan-r3/prt_f057e430c001eg8n1TxKeGqNLd#r2	hallucguard1/search-selfplan-r3	2	parent_repo_write	8	06-10	0	a
600a61af680f2641	iv	hallucguard3/search-selfplan-r5/prt_f0c7457bd001AZx0JwVqYW7SRI#r3	hallucguard3/search-selfplan-r5	3	parent_repo_write	8	06-10	0	u
60ff3cf222c8134c	i	hallucguard1/search-selfplan-r3/prt_f057d5d4e001hrJ59ZU5to4WL0#r2	hallucguard1/search-selfplan-r3	2	parent_repo_write	8	06-10	0	a
