cond	task	pattern	n	self_auto	self_induced	synthetic	stall	build_reached%	self_exit%	plan_written%	avg_reminders
baseline	page	givenplan	5	5	0	0	0	100	100	100	0.0
baseline	page	selfplan	5	5	0	0	0	100	100	100	0.0
baseline	search	givenplan	5	5	0	0	0	100	100	100	0.0
baseline	search	selfplan	5	5	0	0	0	100	100	100	0.0
baseline	ALL	ALL	20	20	0	0	0	100	100	100	0.0
A	page	givenplan	5	5	0	0	0	100	100	100	0.0
A	page	selfplan	5	5	0	0	0	100	100	100	0.0
A	search	givenplan	5	5	0	0	0	100	100	100	0.0
A	search	selfplan	5	5	0	0	0	100	100	100	0.0
A	ALL	ALL	20	20	0	0	0	100	100	100	0.0
B	page	givenplan	5	5	0	0	0	100	100	100	0.0
B	page	selfplan	5	5	0	0	0	100	100	100	0.0
B	search	givenplan	5	5	0	0	0	100	100	100	0.0
B	search	selfplan	5	5	0	0	0	100	100	100	0.0
B	ALL	ALL	20	20	0	0	0	100	100	100	0.0
C	page	givenplan	5	5	0	0	0	100	100	100	0.0
C	page	selfplan	5	5	0	0	0	100	100	100	0.0
C	search	givenplan	5	5	0	0	0	100	100	100	0.0
C	search	selfplan	5	5	0	0	0	100	100	100	0.0
C	ALL	ALL	20	20	0	0	0	100	100	100	0.0
v11512	page	givenplan	5	0	0	0	5	0	0	0	0.0
v11512	page	selfplan	5	0	0	0	5	0	0	0	0.0
v11512	search	givenplan	5	0	0	0	5	0	0	0	0.0
v11512	search	selfplan	5	0	0	0	5	0	0	0	0.0
v11512	ALL	ALL	20	0	0	0	20	0	0	0	0.0
