run_id	trial	tool	status	category	arm
p6l3_p0_j0	p6l3-l1b-selfplan-r1	read	completed	read	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r1	read	completed	read	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r1	edit	completed	write	J0
p6l3_p0_j0	p6l3-l2x-selfplan-r1	read	completed	read	J0
p6l3_p0_j0	p6l3-l2x-selfplan-r1	edit	completed	write	J0
p6l3_p0_j0	p6l3-l1b-selfplan-r2	read	completed	read	J0
p6l3_p0_j0	p6l3-l1b-selfplan-r2	edit	completed	write	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r2	read	completed	read	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r2	edit	completed	write	J0
p6l3_p0_j0	p6l3-l1b-selfplan-r3	read	completed	read	J0
p6l3_p0_j0	p6l3-l1b-selfplan-r3	edit	completed	write	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r3	read	completed	read	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r3	read	completed	read	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r3	edit	completed	write	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r3	read	completed	read	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r4	read	completed	read	J0
p6l3_p0_j0	p6l3-l1b-selfplan-r5	read	completed	read	J0
p6l3_p0_j0	p6l3-l1b-selfplan-r5	edit	completed	write	J0
p6l3_p0_j0	p6l3-l2r-selfplan-r5	read	completed	read	J0
p6l3_p0_j0	p6l3-l4-selfplan-r1	read	completed	read	J0
p6l3_p0_j0	p6l3-l4-selfplan-r1	edit	completed	write	J0
p6l3_p0_j0	p6l3-l4-selfplan-r2	read	completed	read	J0
p6l3_p0_j0	p6l3-l4-selfplan-r2	edit	completed	write	J0
p6l3_p0_j0	p6l3-l4-selfplan-r2	read	completed	read	J0
p6l3_p0_j0	p6l3-l4-selfplan-r3	read	completed	read	J0
p6l3_p0_j0	p6l3-l4-selfplan-r3	edit	completed	write	J0
p6l3_p0_j0	p6l3-l4-selfplan-r3	read	completed	read	J0
