task	pattern	trial	transition	gem	build	diff_files	diff_ins	test_pass	functional	score	correct	idiom	complete	testq
search	selfplan	search-selfplan-r1	self_exit	-	8m20s	6	92	yes	yes	None	None	None	None	None
search	selfplan	search-selfplan-r2	self_exit	-	5m20s	6	118	yes	yes	None	None	None	None	None
search	selfplan	search-selfplan-r3	self_exit	-	6m40s	6	67	yes	yes	None	None	None	None	None
search	selfplan	search-selfplan-r4	self_exit	-	2m40s	0	0	yes	NO	None	None	None	None	None
search	selfplan	search-selfplan-r5	self_exit	-	5m40s	5	63	yes	yes	None	None	None	None	None
search	givenplan	search-givenplan-r1	self_exit	-	5m40s	5	43	yes	yes	None	None	None	None	None
search	givenplan	search-givenplan-r2	self_exit	-	6m0s	5	42	yes	yes	None	None	None	None	None
search	givenplan	search-givenplan-r3	self_exit	-	4m20s	5	56	yes	yes	None	None	None	None	None
search	givenplan	search-givenplan-r4	self_exit	-	4m20s	5	65	yes	yes	None	None	None	None	None
search	givenplan	search-givenplan-r5	self_exit	-	8m40s	5	87	yes	yes	None	None	None	None	None
page	selfplan	page-selfplan-r1	self_exit	kaminari	5m0s	5	39	yes	yes	None	None	None	None	None
page	selfplan	page-selfplan-r2	self_exit	kaminari	12m0s	6	88	yes	yes	None	None	None	None	None
page	selfplan	page-selfplan-r3	self_exit	kaminari	11m40s	6	89	yes	yes	None	None	None	None	None
page	selfplan	page-selfplan-r4	self_exit	kaminari	9m0s	7	135	yes	yes	None	None	None	None	None
page	selfplan	page-selfplan-r5	self_exit	kaminari	16m0s	6	115	yes	yes	None	None	None	None	None
page	givenplan	page-givenplan-r1	self_exit	kaminari	4m0s	4	18	yes	yes	None	None	None	None	None
page	givenplan	page-givenplan-r2	self_exit	kaminari	8m20s	4	19	yes	yes	None	None	None	None	None
page	givenplan	page-givenplan-r3	self_exit	kaminari	4m40s	4	19	yes	yes	None	None	None	None	None
page	givenplan	page-givenplan-r4	self_exit	kaminari	4m20s	4	18	yes	yes	None	None	None	None	None
page	givenplan	page-givenplan-r5	self_exit	kaminari	40m40s	4	23	yes	yes	None	None	None	None	None
