blind_id	loc_correct	alt_given	alt_correct	held	alt_unverifiable
000f27d08c17be76	0	0		0	0
032398ccb457f1fe	1	0		0	0
0535d7961af3433a	1	1	1	0	0
0bc0a40e1103e9e3	1	0		0	0
1025578b2388a05a	1	0		0	0
153f01a25052b68f	1	0		0	0
1a603f0505b7ebba	1	0		0	0
1ba6490224652818	1	1	1	0	0
22204955e6457065	1	0		0	0
264e19f338783cf2	1	1	0	1	0
2bb38c89782c3994	1	0		0	0
2f8a0a103cff97bb	1	0		0	0
336b65dca5aa89e9	0	0		0	0
36431210b427844b	1	1	0	1	0
3c0c3f9c2c593dfa	1	1	1	1	0
3faced213049a25f	1	1	1	1	0
43586b942bd6559f	1	0		0	0
4658f62101f6994e	1	0		0	0
505364a3c211f5a0	0	0		0	0
5720cff2f81af548	1	0		0	0
5fe14d602aa71452	1	0		0	0
6351b95cfa1b444a	1	1	1	0	0
66e14febda4c4c4f	1	0		0	0
69ef727eda250cdf	1	1	1	0	0
6d2ca2d8e22b7d44	1	0		0	0
71783bebece86151	1	1	0	0	0
75607f2a7a7949a6	1	0		0	0
78f41842ac4335de	1	0		0	0
7b3f938a534f4534	1	1	1	0	0
7e191383f0851bd8	1	1	0	1	0
884f5163d7c82934	1	0		0	0
8f2566972cc16513	1	0		0	0
931dd33a13100838	1	0		0	0
969d75e41b489b3f	1	0		0	0
99fed18095409cf7	1	0		0	0
9b90a6454a2d67ee	1	0		0	0
9fc6ba47c784fbe8	0	0		0	0
a3d7382721b1bb29	1	0		0	0
a8c39534531559f6	1	0		1	0
a9df42530fddbc20	1	1	1	0	0
add540a46dd6b396	1	1	1	0	0
b0bfd023e96faf0a	1	0		0	0
b45b3f87a4db9a2b	1	0		0	0
b925f6e05679a0fb	1	0		0	0
c1a6b5f10c36f734	1	0		0	0
c5b24f437429df8c	1	0		0	0
c9906c259411010e	1	1	0	0	0
cb2a2bbb9767c37e	1	0		0	0
cda852aad7ea7950	1	1	0	0	0
d1d184da9d85ec8b	1	1	0	1	0
d39bc75a03bbb547	1	0		0	0
dac40c0dd477d293	0	0		0	0
deb95a56e879c329	1	0		0	0
e540092d9af657f0	1	0		0	0
e80b90a811c9b283	1	0		0	0
ea7f604693de94dc	1	0		0	0
ebd5019eb5184dc5	1	0		0	0
eeed57b1ec744205	1	0		0	0
f2416f402edb3677	1	1	0	0	0
f60ff8e38e7c7991	1	0		0	0
