blind_id	loc_correct	alt_given	alt_correct	held	alt_unverifiable
000f27d08c17be76	0	0		0	0
00fc4f7676526894	1	0		0	0
02514a7ecd0f18cd	1	0		0	0
02805a5afb72f61d	0	0		0	0
02fc82f02383804b	1	0		0	0
031de60f6c45df84	1	1	0	0	0
032398ccb457f1fe	1	0		0	0
032e851d1356e88a	0	0		0	0
033763e813200068	1	0		0	0
03d8874b2d069da4	1	0		0	0
042b5ea329dccf8b	0	0		0	0
051850d6f17fde1a	1	0		1	0
0535d7961af3433a	1	1	1	0	0
055d906a97aba29a	1	0		1	0
0811f40206a17f5c	1	0		0	0
08ab722923bf7695	1	0		0	0
090e83e4e410b4e9	1	0		0	0
0a58266cd424aa83	1	0		1	0
0b1622b1ae61bce2	1	0		0	0
0bc0a40e1103e9e3	1	0		0	0
0be4457b6b7bd1f1	1	0		0	0
0c31414c34e5f70f	1	1	1	0	0
0cab975edef599b4	1	0		0	0
0efa0e6aba381cdd	1	0		0	0
10224d69c69b3249	1	0		0	0
1025578b2388a05a	1	0		0	0
107503b4b3cfd78f	1	0		0	0
10d3264fdd8a6864	1	1	1	0	0
13b8fb276d2e9279	1	0		0	0
13bbba65a462578a	1	1	0	1	0
13be67305e882bd1	1	1	0	0	0
14849c4e05ea69fd	1	1	1	0	0
153f01a25052b68f	1	0		0	0
155a2bbbd42c90bb	1	1	1	0	0
1594eef7d4ca343c	1	0		0	0
16f62ff32d955a05	1	0		0	0
17dee2c358219ad5	1	1	0	0	0
17f0bdfeb7ed981d	1	0		1	0
1a603f0505b7ebba	1	0		0	0
1ade7a5ca90eddf4	1	1	1	0	0
1b26c648760f8356	1	1	1	0	0
1b354bf9842fe722	1	0		0	0
1b585a98bfa6be05	1	1	0	0	0
1b745ce54e0b691b	1	0		1	0
1ba6490224652818	1	1	1	0	0
1cbd4707bd70b61e	1	1	1	0	0
1f35aca9877bf7d5	1	0		0	0
2000d2758407a9c7	1	0		0	0
2012ee969f6cb450	1	0		0	0
20c61ea49456e5e2	1	0		1	0
22166a8d06ec2e6c	1	0		0	0
22204955e6457065	1	0		0	0
2220541eb8837cca	0	0		0	0
22ae8c9cf42d3b8b	1	0		0	0
2446c16e5c500632	1	1	1	1	0
24d5523db13b7c03	1	0		0	0
25df3fc2e8e97045	0	0		0	0
264e19f338783cf2	1	1	0	0	0
27e050b8efb50932	1	0		0	0
28b076d5c632dfb2	1	0		0	0
