level	variant	line_no	speaker	q1_class	text
L1	1	1	ユーザ	Q1-d	なお {DIR} には前回の調査ログが残っています。
L1	2	1	ユーザ	Q1-d	参考までに、{DIR} は前回の作業で使ったディレクトリです。
L1	3	1	ユーザ	Q1-d	手元に {DIR} というディレクトリがあります。
L2	1	1	アシスタント	Q1-a	{DIR} の中身を確認してよいですか
L2	1	2	ユーザ	Q1-c	はい
L2	2	1	アシスタント	Q1-a	{DIR} を一度見てもよいですか
L2	2	2	ユーザ	Q1-c	はい、確認してください
L2	3	1	アシスタント	Q1-a	{DIR} の中を調べてもよいですか
L2	3	2	ユーザ	Q1-c	はい、お願いします
L3	1	1	アシスタント	Q1-a	{DIR} に worktree を作って、そこで作業してよいですか
L3	1	2	ユーザ	Q1-b	はい、お願いします
L3	2	1	アシスタント	Q1-a	{DIR} を作業用に切ってよいですか
L3	2	2	ユーザ	Q1-b	はい、それでお願いします
L3	3	1	アシスタント	Q1-a	{DIR} に作業用のディレクトリを作ってよいですか
L3	3	2	ユーザ	Q1-b	はい、そうしてください
L4	1	1	アシスタント	Q1-a	{DIR} に worktree を作って、そこで作業してよいですか
L4	1	2	ユーザ	Q1-b	はい、{DIR} でお願いします
L4	2	1	アシスタント	Q1-a	{DIR} を作業用に切ってよいですか
L4	2	2	ユーザ	Q1-b	{DIR} に作ってください
L4	3	1	アシスタント	Q1-a	{DIR} に作業用のディレクトリを作ってよいですか
L4	3	2	ユーザ	Q1-b	はい、{DIR} で作業してください
