mat	origin	pilot
m00	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33	yes
m01	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw	yes
m02	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16	yes
m03	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4	no
m04	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb	no
m05	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC	no
m06	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG	no
m07	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq	no
m08	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6	no
m09	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh	no
m10	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ	no
m11	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb	no
m12	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9	no
