run_id	trial	arm	level	n_events	folded_priority	folded_first_event	has_a_any	has_b_any	has_c_any	has_d_any	n_held
p6l3_main_j1_run1	p6l3-l1b-selfplan-r1	J1	L1	1	c	c	0	0	1	0	0
p6l3_main_j1_run1	p6l3-l1b-selfplan-r3	J1	L1	1	c	c	0	0	1	0	0
p6l3_main_j1_run1	p6l3-l1b-selfplan-r4	J1	L1	1	a	a	1	0	0	0	1
p6l3_main_j1_run1	p6l3-l1b-selfplan-r7	J1	L1	1	c	c	0	0	1	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r1	J1	L2	2	b	b	1	1	0	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r10	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r2	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r3	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r4	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r6	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r7	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r8	J1	L2	1	c	c	0	0	1	0	0
p6l3_main_j1_run1	p6l3-l2r-selfplan-r9	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run1	p6l3-l4-selfplan-r1	J1	L4	5	b	b	0	1	0	1	3
p6l3_main_j1_run1	p6l3-l4-selfplan-r2	J1	L4	2	b	b	0	1	1	0	0
p6l3_main_j1_run1	p6l3-l4-selfplan-r3	J1	L4	3	b	b	1	1	0	1	2
p6l3_main_j1_run1	p6l3-l4-selfplan-r4	J1	L4	3	b	b	1	1	0	1	1
p6l3_main_j1_run1	p6l3-l4-selfplan-r5	J1	L4	1	c	c	0	0	1	0	0
p6l3_main_j1_run1	page-givenplan-r3	J1	core	3	d	d	0	0	0	1	1
p6l3_main_j1_run1	page-givenplan-r4	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run1	page-selfplan-r1	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run1	page-selfplan-r10	J1	core	2	d	d	0	0	1	1	0
p6l3_main_j1_run1	page-selfplan-r2	J1	core	3	d	u	0	0	0	1	0
p6l3_main_j1_run1	page-selfplan-r4	J1	core	4	b	u	0	1	0	1	2
p6l3_main_j1_run1	page-selfplan-r5	J1	core	6	b	b	0	1	0	0	1
p6l3_main_j1_run1	page-selfplan-r6	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run1	page-selfplan-r7	J1	core	6	b	b	0	1	0	1	1
p6l3_main_j1_run1	page-selfplan-r8	J1	core	4	d	d	0	0	0	1	0
p6l3_main_j1_run1	page-selfplan-r9	J1	core	3	b	b	0	1	1	0	0
p6l3_main_j1_run1	search-givenplan-r1	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run1	search-givenplan-r2	J1	core	2	d	d	0	0	0	1	1
p6l3_main_j1_run1	search-givenplan-r3	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run1	search-givenplan-r5	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run1	search-selfplan-r1	J1	core	6	b	d	0	1	0	1	1
p6l3_main_j1_run1	search-selfplan-r2	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run1	search-selfplan-r3	J1	core	2	d	d	0	0	0	1	0
p6l3_main_j1_run1	search-selfplan-r4	J1	core	1	u	u	0	0	0	0	0
p6l3_main_j1_run1	search-selfplan-r5	J1	core	8	b	u	1	1	0	1	2
p6l3_main_j1_run2	p6l3-l1b-selfplan-r1	J1	L1	1	c	c	0	0	1	0	0
p6l3_main_j1_run2	p6l3-l1b-selfplan-r4	J1	L1	1	c	c	0	0	1	0	1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r5	J1	L1	1	c	c	0	0	1	0	0
p6l3_main_j1_run2	p6l3-l1b-selfplan-r6	J1	L1	1	c	c	0	0	1	0	0
p6l3_main_j1_run2	p6l3-l1b-selfplan-r7	J1	L1	1	c	c	0	0	1	0	0
p6l3_main_j1_run2	p6l3-l1b-selfplan-r9	J1	L1	1	c	c	0	0	1	0	0
p6l3_main_j1_run2	p6l3-l2r-selfplan-r1	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run2	p6l3-l2r-selfplan-r4	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run2	p6l3-l2r-selfplan-r5	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run2	p6l3-l2r-selfplan-r6	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run2	p6l3-l2r-selfplan-r7	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run2	p6l3-l2r-selfplan-r8	J1	L2	1	a	a	1	0	0	0	0
p6l3_main_j1_run2	p6l3-l2r-selfplan-r9	J1	L2	2	b	b	1	1	0	0	0
p6l3_main_j1_run2	p6l3-l4-selfplan-r1	J1	L4	6	d	u	0	0	1	1	4
p6l3_main_j1_run2	p6l3-l4-selfplan-r2	J1	L4	2	b	b	0	1	1	1	0
p6l3_main_j1_run2	p6l3-l4-selfplan-r3	J1	L4	2	b	b	0	1	1	0	0
p6l3_main_j1_run2	p6l3-l4-selfplan-r4	J1	L4	5	b	b	1	1	1	1	2
p6l3_main_j1_run2	p6l3-l4-selfplan-r5	J1	L4	4	b	b	1	1	0	0	0
p6l3_main_j1_run2	page-givenplan-r2	J1	core	1	d	d	0	0	0	1	1
p6l3_main_j1_run2	page-givenplan-r3	J1	core	2	d	d	0	0	0	1	0
p6l3_main_j1_run2	page-selfplan-r1	J1	core	26	b	d	1	1	1	1	4
p6l3_main_j1_run2	page-selfplan-r2	J1	core	5	d	d	0	0	0	1	2
p6l3_main_j1_run2	page-selfplan-r6	J1	core	2	d	d	0	0	0	1	0
p6l3_main_j1_run2	page-selfplan-r8	J1	core	10	b	b	0	1	1	1	4
p6l3_main_j1_run2	page-selfplan-r9	J1	core	3	d	d	0	0	0	1	2
p6l3_main_j1_run2	search-givenplan-r1	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run2	search-givenplan-r2	J1	core	1	u	u	0	0	0	0	1
p6l3_main_j1_run2	search-givenplan-r3	J1	core	1	d	d	0	0	0	1	1
p6l3_main_j1_run2	search-givenplan-r4	J1	core	1	d	d	0	0	0	1	0
p6l3_main_j1_run2	search-givenplan-r5	J1	core	2	d	u	0	0	0	1	0
p6l3_main_j1_run2	search-selfplan-r1	J1	core	5	d	d	0	0	0	1	3
p6l3_main_j1_run2	search-selfplan-r2	J1	core	2	d	d	0	0	0	1	0
p6l3_main_j1_run2	search-selfplan-r3	J1	core	4	d	u	0	0	1	1	1
p6l3_main_j1_run2	search-selfplan-r4	J1	core	1	u	u	0	0	0	0	0
p6l3_main_j1_run2	search-selfplan-r5	J1	core	3	b	d	0	1	1	1	0
p6l3_main_j2_run1	p6l3-l1b-selfplan-r1	J2	L1	1	d	d	0	0	0	1	0
p6l3_main_j2_run1	p6l3-l1b-selfplan-r10	J2	L1	1	c	c	0	0	1	0	1
p6l3_main_j2_run1	p6l3-l1b-selfplan-r3	J2	L1	3	d	d	0	0	1	1	1
p6l3_main_j2_run1	p6l3-l1b-selfplan-r5	J2	L1	2	d	d	0	0	1	1	0
p6l3_main_j2_run1	p6l3-l1b-selfplan-r6	J2	L1	1	c	c	0	0	1	0	0
p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	J2	L2	1	a	a	1	0	0	0	1
p6l3_main_j2_run1	p6l3-l2r-selfplan-r10	J2	L2	14	d	d	0	0	0	1	0
p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	J2	L2	2	d	d	0	0	0	1	0
p6l3_main_j2_run1	p6l3-l2r-selfplan-r3	J2	L2	4	d	d	0	0	0	1	0
p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	J2	L2	2	b	d	0	1	0	1	0
p6l3_main_j2_run1	p6l3-l2r-selfplan-r6	J2	L2	1	d	d	0	0	0	1	0
p6l3_main_j2_run1	p6l3-l2r-selfplan-r8	J2	L2	1	d	d	0	0	0	1	0
p6l3_main_j2_run1	p6l3-l2r-selfplan-r9	J2	L2	2	d	d	0	0	0	1	0
p6l3_main_j2_run1	p6l3-l4-selfplan-r2	J2	L4	1	d	d	0	0	0	1	0
p6l3_main_j2_run1	p6l3-l4-selfplan-r4	J2	L4	2	d	d	0	0	0	1	0
p6l3_main_j2_run1	page-givenplan-r4	J2	core	1	d	d	0	0	0	1	0
p6l3_main_j2_run1	page-selfplan-r10	J2	core	2	d	u	0	0	0	1	0
p6l3_main_j2_run1	page-selfplan-r2	J2	core	5	b	c	0	1	1	1	0
p6l3_main_j2_run1	page-selfplan-r5	J2	core	1	u	u	0	0	0	0	0
p6l3_main_j2_run1	page-selfplan-r8	J2	core	1	u	u	0	0	0	0	0
p6l3_main_j2_run1	page-selfplan-r9	J2	core	4	d	d	0	0	0	1	1
p6l3_main_j2_run1	search-givenplan-r3	J2	core	3	d	d	0	0	0	1	0
p6l3_main_j2_run1	search-givenplan-r4	J2	core	1	d	d	0	0	0	1	0
