blind_id	stratum	cluster
009c026edbc3f434	J1:L4	p6l3_main_j1_run1/p6l3-l4-selfplan-r4
00a098e485bdb3e7	J2:L2	p6l3_main_j2_run1/p6l3-l2r-selfplan-r5
013355b2733d1030	J2:L1	p6l3_main_j2_run2/p6l3-l1b-selfplan-r3
01d97056c2a7cadf	J1:L2	p6l3_main_j1_run1/p6l3-l2r-selfplan-r10
02b0739a88f76522	J2:L4	p6l3_main_j2_run2/p6l3-l4-selfplan-r4
042e2d2af5f5b798	J2:L1	p6l3_main_j2_run1/p6l3-l1b-selfplan-r3
0600ab55ed3b9c4f	J1:core	p6l3_main_j1_run1/page-selfplan-r5
07b1188a19cd64cd	J1:L4	p6l3_main_j1_run1/p6l3-l4-selfplan-r3
08ead10597fea9d3	J2:core	p6l3_main_j2_run1/page-selfplan-r2
0a0ad57d72a70fb4	J1:L4	p6l3_main_j1_run2/p6l3-l4-selfplan-r1
0a59ade588a99ee9	J2:L4	p6l3_main_j2_run2/p6l3-l4-selfplan-r1
0a95acb8ac9eff39	J2:L2	p6l3_main_j2_run1/p6l3-l2r-selfplan-r3
0cd4ac79ae682330	J2:core	p6l3_main_j2_run1/page-givenplan-r4
0d793f85e29ccace	J2:L2	p6l3_main_j2_run1/p6l3-l2r-selfplan-r6
0fd395e3732362db	J1:core	p6l3_main_j1_run1/page-selfplan-r1
109f1b23cda106dd	J2:L4	p6l3_main_j2_run2/p6l3-l4-selfplan-r1
11d91f5948ac6e58	J2:core	p6l3_main_j2_run1/search-givenplan-r3
17d2ad73f7ad5d8f	J1:L1	p6l3_main_j1_run2/p6l3-l1b-selfplan-r5
17e785407ebe2d34	J2:core	p6l3_main_j2_run1/page-selfplan-r9
194ef73c28a7c371	J2:L2	p6l3_main_j2_run1/p6l3-l2r-selfplan-r10
197ad38ab847e9fb	J1:core	p6l3_main_j1_run1/page-selfplan-r2
1a74b62adf9436b3	J2:L1	p6l3_main_j2_run1/p6l3-l1b-selfplan-r6
1b8ddb20daa9b9a2	J2:core	p6l3_main_j2_run1/page-selfplan-r10
2315cbe7b8e4ca83	J1:L2	p6l3_main_j1_run1/p6l3-l2r-selfplan-r1
23d49c10ea7d4b4a	J2:L4	p6l3_main_j2_run1/p6l3-l4-selfplan-r4
2442790e6b7a3a22	J2:L1	p6l3_main_j2_run1/p6l3-l1b-selfplan-r10
25769d8212231757	J1:core	p6l3_main_j1_run1/page-selfplan-r4
26fb67fd3b308178	J1:core	p6l3_main_j1_run1/page-givenplan-r3
27900baa31dfcde8	J1:L2	p6l3_main_j1_run1/p6l3-l2r-selfplan-r3
2845d01bcefc6665	J1:L2	p6l3_main_j1_run1/p6l3-l2r-selfplan-r7
2a9c5e3f2a297aaa	J2:L2	p6l3_main_j2_run1/p6l3-l2r-selfplan-r2
2bb82692563c434c	J2:L2	p6l3_main_j2_run1/p6l3-l2r-selfplan-r9
2df093f66181ea2c	J1:L4	p6l3_main_j1_run1/p6l3-l4-selfplan-r1
34e990387cbcfc15	J1:core	p6l3_main_j1_run1/page-selfplan-r6
3f2bc8a843f24e63	J1:L2	p6l3_main_j1_run1/p6l3-l2r-selfplan-r8
427ae3255c7ef8d6	J1:L1	p6l3_main_j1_run2/p6l3-l1b-selfplan-r4
45e56a530c2baabd	J1:L1	p6l3_main_j1_run2/p6l3-l1b-selfplan-r6
4f9f37ca6ccea82f	J1:L1	p6l3_main_j1_run1/p6l3-l1b-selfplan-r1
52a4bc37f3bc10f7	J1:L1	p6l3_main_j1_run1/p6l3-l1b-selfplan-r4
52b44301ab79668d	J1:L1	p6l3_main_j1_run2/p6l3-l1b-selfplan-r1
57030acb3fa256ab	J2:L2	p6l3_main_j2_run1/p6l3-l2r-selfplan-r8
5b5392fbb5ef25f6	J2:L4	p6l3_main_j2_run2/p6l3-l4-selfplan-r4
62ec570d0124ce90	J1:core	p6l3_main_j1_run1/page-selfplan-r10
632b9fc020e5da93	J2:core	p6l3_main_j2_run1/page-selfplan-r5
697790d7f0c78e7a	J1:L4	p6l3_main_j1_run1/p6l3-l4-selfplan-r2
6a6f025e0aa465a1	J2:core	p6l3_main_j2_run1/page-selfplan-r8
72cf6551a118545a	J1:L1	p6l3_main_j1_run1/p6l3-l1b-selfplan-r7
74f6a136c549089c	J1:L4	p6l3_main_j1_run2/p6l3-l4-selfplan-r3
78044570dbe55c46	J2:L1	p6l3_main_j2_run2/p6l3-l1b-selfplan-r2
8caf3d914fde046b	J2:L1	p6l3_main_j2_run1/p6l3-l1b-selfplan-r5
9adbf1a48517488e	J1:L4	p6l3_main_j1_run1/p6l3-l4-selfplan-r5
9fe79d26755bc9fc	J1:L2	p6l3_main_j1_run1/p6l3-l2r-selfplan-r6
a14692dcd19b23f5	J1:L4	p6l3_main_j1_run2/p6l3-l4-selfplan-r2
aaad8750b329390c	J2:L4	p6l3_main_j2_run1/p6l3-l4-selfplan-r4
b589accbdd996e1a	J1:L1	p6l3_main_j1_run1/p6l3-l1b-selfplan-r3
b593e5b121418a5a	J2:L4	p6l3_main_j2_run1/p6l3-l4-selfplan-r2
b74c487826b84505	J2:L1	p6l3_main_j2_run2/p6l3-l1b-selfplan-r1
c154bce7ef080187	J1:core	p6l3_main_j1_run1/page-givenplan-r4
c7a899b64fef3841	J2:L1	p6l3_main_j2_run1/p6l3-l1b-selfplan-r1
c90110070f074f0d	J1:L2	p6l3_main_j1_run1/p6l3-l2r-selfplan-r2
d4e1767f940b04b9	J2:core	p6l3_main_j2_run1/search-givenplan-r4
dae5e2317745609a	J1:L2	p6l3_main_j1_run1/p6l3-l2r-selfplan-r4
de8ad740bc435c6b	J2:L2	p6l3_main_j2_run1/p6l3-l2r-selfplan-r1
e606ddea50cd676e	J2:L4	p6l3_main_j2_run2/p6l3-l4-selfplan-r3
