scenario_id	scenario_version	task	pattern	prompt_file	prompt_sha	browser_check	reps	sets	allowed_paths_file	condition	permission_variant	worktree_root
search-selfplan	2	search	selfplan	prompts/search_selfplan.txt	d6e2a8ca	search	5	core,full	allowed_paths/search.txt	existing_bench	ask	external
search-givenplan	2	search	givenplan	prompts/search_givenplan.txt	4e512433	search	5	core,full	allowed_paths/search.txt	existing_bench	ask	external
page-selfplan	3	page	selfplan	prompts/page_selfplan.txt	a860e52a	page	10	core,full	allowed_paths/page.txt	existing_bench	ask	external
page-givenplan	3	page	givenplan	prompts/page_givenplan.txt	407cab93	page	5	core,full	allowed_paths/page.txt	existing_bench	ask	external
disk-selfplan	3	disk	selfplan	prompts/disk_selfplan.txt	80a5c69a	disk	5	disk,full	allowed_paths/disk.txt	existing_bench	ask	external
disk-givenplan	3	disk	givenplan	prompts/disk_givenplan.txt	3441ca4a	disk	5	disk,full	allowed_paths/disk.txt	existing_bench	ask	external
a1-selfplan	1	a1	selfplan	prompts/a1_selfplan.txt	225db5a1	none	10	phase0b,phase1a,phase2b-C	allowed_paths/none.txt	A_parent_cwd	ask	external
a2-selfplan	1	a2	selfplan	prompts/a2_selfplan.txt	5f553e6f	none	10	phase0b	allowed_paths/none.txt	A_parent_cwd	ask	external
a3-selfplan	1	a3	selfplan	prompts/a3_selfplan.txt	a3efccfd	none	10	phase0b	allowed_paths/none.txt	A_parent_cwd	ask	external
b1-selfplan	1	b1	selfplan	prompts/b1_selfplan.txt	c9b8211e	none	10	phase0b	allowed_paths/none.txt	B_worktree_cwd	ask	external
b2-selfplan	1	b2	selfplan	prompts/b2_selfplan.txt	bc85cf0b	none	10	phase0b	allowed_paths/none.txt	B_worktree_cwd	ask	external
b3-selfplan	1	b3	selfplan	prompts/b3_selfplan.txt	c9b8211e	none	10	phase0b	allowed_paths/none.txt	B_worktree_cwd	deny	external
areason-selfplan	1	areason	selfplan	prompts/areason_selfplan.txt	c1378b3e	none	10	phase1a	allowed_paths/none.txt	A_parent_cwd	ask	external
aconseq-selfplan	1	aconseq	selfplan	prompts/aconseq_selfplan.txt	caa024ad	none	10	phase1a	allowed_paths/none.txt	A_parent_cwd	ask	external
ametaq-selfplan	1	ametaq	selfplan	prompts/ametaq_selfplan.txt	98d58fec	none	10	phase1a	allowed_paths/none.txt	A_parent_cwd	ask	external
aexample-selfplan	1	aexample	selfplan	prompts/aexample_selfplan.txt	6ab9cb92	none	10	phase1a	allowed_paths/none.txt	A_parent_cwd	ask	external
aforce-selfplan	1	aforce	selfplan	prompts/aforce_selfplan.txt	d753ad67	none	10	phase1a	allowed_paths/none.txt	A_parent_cwd	ask	external
aex1-selfplan	1	aex1	selfplan	prompts/aex1_selfplan.txt	83bc5b47	none	10	phase2a-A	allowed_paths/none.txt	A_parent_cwd	ask	external
aex2-selfplan	1	aex2	selfplan	prompts/aex2_selfplan.txt	bad0fa01	none	10	phase2a-A	allowed_paths/none.txt	A_parent_cwd	ask	external
aex3-selfplan	1	aex3	selfplan	prompts/aex3_selfplan.txt	0f35ec2b	none	10	phase2a-A	allowed_paths/none.txt	A_parent_cwd	ask	external
aex4-selfplan	1	aex4	selfplan	prompts/aex4_selfplan.txt	cbe29c57	none	10	phase2a-A	allowed_paths/none.txt	A_parent_cwd	ask	external
aeb1-selfplan	1	aeb1	selfplan	prompts/aeb1_selfplan.txt	15ce171c	none	10	phase2a-B	allowed_paths/none.txt	A_parent_cwd	ask	external
aeb2-selfplan	1	aeb2	selfplan	prompts/aeb2_selfplan.txt	c4c390e0	none	10	phase2a-B	allowed_paths/none.txt	A_parent_cwd	ask	external
agentsex-selfplan	1	agentsex	selfplan	prompts/a1_selfplan.txt	225db5a1	none	10	phase3b	allowed_paths/none.txt	A_parent_cwd	ask	external
agentseb-selfplan	1	agentseb	selfplan	prompts/a1_selfplan.txt	225db5a1	none	10	phase3b	allowed_paths/none.txt	A_parent_cwd	ask	external
b3escapeap-selfplan	1	b3escapeap	selfplan	prompts/b3escape_selfplan.txt	d52326c2	none	10	phase3c	allowed_paths/none.txt	B_worktree_cwd	ask	parent_internal
b3escapedp-selfplan	1	b3escapedp	selfplan	prompts/b3escape_selfplan.txt	d52326c2	none	10	phase3c	allowed_paths/none.txt	B_worktree_cwd	deny	parent_internal
b3escapeae-selfplan	1	b3escapeae	selfplan	prompts/b3escape_selfplan.txt	d52326c2	none	10	phase3c	allowed_paths/none.txt	B_worktree_cwd	ask	external
b3escape2ap-selfplan	1	b3escape2ap	selfplan	prompts/b3escape2_selfplan.txt	ace8a957	none	10	phase3c2	allowed_paths/none.txt	B_worktree_cwd	ask	parent_internal
b3escape2dp-selfplan	1	b3escape2dp	selfplan	prompts/b3escape2_selfplan.txt	ace8a957	none	10	phase3c2	allowed_paths/none.txt	B_worktree_cwd	deny	parent_internal
b3escape2ae-selfplan	1	b3escape2ae	selfplan	prompts/b3escape2_selfplan.txt	ace8a957	none	10	phase3c2	allowed_paths/none.txt	B_worktree_cwd	ask	external
p6-b3escape2ap-selfplan	1	p6-b3escape2ap	selfplan	prompts/b3escape2_selfplan.txt	ace8a957	none	10	phase6	allowed_paths/none.txt	B_worktree_cwd	ask	parent_internal
p6-b3escape2ae-selfplan	1	p6-b3escape2ae	selfplan	prompts/b3escape2_selfplan.txt	ace8a957	none	10	phase6	allowed_paths/none.txt	B_worktree_cwd	ask	external
p6-search-selfplan	2	p6-search	selfplan	prompts/search_selfplan.txt	d6e2a8ca	search	5	phase6	allowed_paths/search.txt	existing_bench	ask	external
p6-page-selfplan	3	p6-page	selfplan	prompts/page_selfplan.txt	a860e52a	page	5	phase6	allowed_paths/page.txt	existing_bench	ask	external
p6-bn-recent-selfplan	1	p6-bn-recent	selfplan	prompts/bn_recent_selfplan.txt	252fcf7c	railstest	4	phase6bn	allowed_paths/bn_recent.txt	existing_bench	ask	external
p6-bn-destroy-selfplan	1	p6-bn-destroy	selfplan	prompts/bn_destroy_selfplan.txt	f3bd0375	railstest	4	phase6bn	allowed_paths/bn_destroy.txt	existing_bench	ask	external
p6-bn-viewcount-selfplan	1	p6-bn-viewcount	selfplan	prompts/bn_viewcount_selfplan.txt	e2de0058	railstest	4	phase6bn	allowed_paths/bn_viewcount.txt	existing_bench	ask	external
