run_id	trial	parent_read_count	parent_write_count	partial_only	hallucination_zero	functional	classified
baseline_scen_v2	search-selfplan-r1	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-selfplan-r2	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-selfplan-r3	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-selfplan-r4	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-selfplan-r5	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-givenplan-r1	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-givenplan-r2	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-givenplan-r3	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-givenplan-r4	0	0	False	False	True	no_parent_access
baseline_scen_v2	search-givenplan-r5	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-selfplan-r1	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-selfplan-r2	12	0	False	True	False	isolation_break_read_only
baseline_scen_v2	page-selfplan-r3	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-selfplan-r4	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-selfplan-r5	9	0	False	True	False	isolation_break_read_only
baseline_scen_v2	page-selfplan-r6	10	0	False	True	False	isolation_break_read_only
baseline_scen_v2	page-selfplan-r7	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-selfplan-r8	11	0	False	True	False	isolation_break_read_only
baseline_scen_v2	page-selfplan-r9	22	31	False	True	False	isolation_break_write
baseline_scen_v2	page-selfplan-r10	9	0	False	True	False	isolation_break_read_only
baseline_scen_v2	page-givenplan-r1	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-givenplan-r2	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-givenplan-r3	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-givenplan-r4	0	0	False	False	True	no_parent_access
baseline_scen_v2	page-givenplan-r5	0	0	False	False	True	no_parent_access
baseline_scen_v2	disk-selfplan-r1	36	0	False	False	True	isolation_break_read_only
baseline_scen_v2	disk-selfplan-r2	0	0	False	False	True	no_parent_access
baseline_scen_v2	disk-selfplan-r3	0	0	False	False	False	no_parent_access
baseline_scen_v2	disk-selfplan-r4	16	0	False	True	False	isolation_break_read_only
baseline_scen_v2	disk-selfplan-r5	0	0	False	False	False	no_parent_access
baseline_scen_v2	disk-givenplan-r1	0	0	False	False	True	no_parent_access
baseline_scen_v2	disk-givenplan-r2	0	0	False	False	True	no_parent_access
baseline_scen_v2	disk-givenplan-r3	0	0	False	False	True	no_parent_access
baseline_scen_v2	disk-givenplan-r4	0	0	False	False	True	no_parent_access
baseline_scen_v2	disk-givenplan-r5	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	search-selfplan-r1	7	0	False	False	True	isolation_break_read_only
feature_bench_promptbs_hg1	search-selfplan-r2	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	search-selfplan-r3	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	search-selfplan-r4	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	search-selfplan-r5	7	0	False	True	False	isolation_break_read_only
feature_bench_promptbs_hg1	search-givenplan-r1	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	search-givenplan-r2	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	search-givenplan-r3	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	search-givenplan-r4	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	search-givenplan-r5	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-selfplan-r1	10	0	False	True	False	isolation_break_read_only
feature_bench_promptbs_hg1	page-selfplan-r2	6	0	False	False	False	isolation_break_read_only
feature_bench_promptbs_hg1	page-selfplan-r3	21	11	True	False	False	isolation_break_write
feature_bench_promptbs_hg1	page-selfplan-r4	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-selfplan-r5	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-selfplan-r6	9	0	False	True	False	isolation_break_read_only
feature_bench_promptbs_hg1	page-selfplan-r7	1	0	False	False	True	isolation_break_read_only
feature_bench_promptbs_hg1	page-selfplan-r8	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-selfplan-r9	9	0	False	True	False	isolation_break_read_only
feature_bench_promptbs_hg1	page-selfplan-r10	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-givenplan-r1	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-givenplan-r2	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-givenplan-r3	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-givenplan-r4	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	page-givenplan-r5	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	disk-selfplan-r1	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	disk-selfplan-r2	0	0	False	False	False	no_parent_access
feature_bench_promptbs_hg1	disk-selfplan-r3	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	disk-selfplan-r4	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	disk-selfplan-r5	0	0	False	False	False	no_parent_access
feature_bench_promptbs_hg1	disk-givenplan-r1	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	disk-givenplan-r2	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	disk-givenplan-r3	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	disk-givenplan-r4	0	0	False	False	True	no_parent_access
feature_bench_promptbs_hg1	disk-givenplan-r5	0	0	False	False	True	no_parent_access
promptbs_hg1v2	search-selfplan-r1	0	0	False	False	True	no_parent_access
promptbs_hg1v2	search-selfplan-r2	7	0	False	True	False	isolation_break_read_only
promptbs_hg1v2	search-selfplan-r3	0	0	False	False	True	no_parent_access
promptbs_hg1v2	search-selfplan-r4	0	0	False	False	True	no_parent_access
promptbs_hg1v2	search-selfplan-r5	10	0	False	True	False	isolation_break_read_only
