run_id	trial	tool	status	count	parent_write_present
baseline_scen_v2	page-selfplan-r2	read	completed	11	False
baseline_scen_v2	page-selfplan-r2	grep	completed	1	False
baseline_scen_v2	page-selfplan-r5	read	completed	9	False
baseline_scen_v2	page-selfplan-r6	read	completed	9	False
baseline_scen_v2	page-selfplan-r6	bash	completed	1	False
baseline_scen_v2	page-selfplan-r8	read	completed	10	False
baseline_scen_v2	page-selfplan-r8	grep	completed	1	False
baseline_scen_v2	page-selfplan-r9	edit	completed	24	True
baseline_scen_v2	page-selfplan-r9	read	completed	16	True
baseline_scen_v2	page-selfplan-r9	edit	error	4	True
baseline_scen_v2	page-selfplan-r9	write	error	3	True
baseline_scen_v2	page-selfplan-r9	bash	completed	2	True
baseline_scen_v2	page-selfplan-r9	read	error	2	True
baseline_scen_v2	page-selfplan-r9	bash	error	1	True
baseline_scen_v2	page-selfplan-r9	grep	completed	1	True
baseline_scen_v2	page-selfplan-r10	read	completed	8	False
baseline_scen_v2	page-selfplan-r10	grep	completed	1	False
baseline_scen_v2	disk-selfplan-r1	read	completed	34	False
baseline_scen_v2	disk-selfplan-r1	bash	completed	2	False
baseline_scen_v2	disk-selfplan-r4	read	completed	16	False
feature_bench_promptbs_hg1	search-selfplan-r1	read	completed	7	False
feature_bench_promptbs_hg1	search-selfplan-r5	read	completed	7	False
feature_bench_promptbs_hg1	page-selfplan-r1	read	completed	9	False
feature_bench_promptbs_hg1	page-selfplan-r1	grep	completed	1	False
feature_bench_promptbs_hg1	page-selfplan-r2	read	completed	5	False
feature_bench_promptbs_hg1	page-selfplan-r2	read	error	1	False
feature_bench_promptbs_hg1	page-selfplan-r3	read	completed	13	False
feature_bench_promptbs_hg1	page-selfplan-r3	edit	error	6	False
feature_bench_promptbs_hg1	page-selfplan-r3	write	error	5	False
feature_bench_promptbs_hg1	page-selfplan-r3	bash	completed	4	False
feature_bench_promptbs_hg1	page-selfplan-r3	bash	error	2	False
feature_bench_promptbs_hg1	page-selfplan-r3	read	error	1	False
feature_bench_promptbs_hg1	page-selfplan-r3	task	completed	1	False
feature_bench_promptbs_hg1	page-selfplan-r6	read	completed	9	False
feature_bench_promptbs_hg1	page-selfplan-r7	read	completed	1	False
feature_bench_promptbs_hg1	page-selfplan-r9	read	completed	8	False
feature_bench_promptbs_hg1	page-selfplan-r9	read	error	1	False
promptbs_hg1v2	search-selfplan-r2	read	completed	7	False
promptbs_hg1v2	search-selfplan-r5	read	completed	9	False
promptbs_hg1v2	search-selfplan-r5	grep	completed	1	False
promptbs_hg1v2	page-selfplan-r1	read	completed	15	False
promptbs_hg1v2	page-selfplan-r3	read	completed	8	False
promptbs_hg1v2	page-selfplan-r3	write	error	6	False
promptbs_hg1v2	page-selfplan-r3	bash	error	4	False
promptbs_hg1v2	page-selfplan-r3	edit	error	2	False
promptbs_hg1v2	page-selfplan-r3	glob	completed	2	False
promptbs_hg1v2	page-selfplan-r3	bash	completed	1	False
promptbs_hg1v2	page-selfplan-r6	read	completed	9	False
promptbs_hg1v2	page-selfplan-r6	bash	error	1	False
promptbs_hg1v2	page-selfplan-r8	read	completed	15	False
promptbs_hg1v2	page-selfplan-r8	bash	completed	1	False
promptbs_hg1v2	page-selfplan-r10	read	completed	12	False
promptbs_hg1v2	page-selfplan-r10	write	error	3	False
promptbs_hg1v2	page-selfplan-r10	read	error	2	False
promptbs_hg1v2	page-selfplan-r10	bash	completed	1	False
promptbs_hg1v2	page-selfplan-r10	bash	error	1	False
promptbs_hg1v2	page-selfplan-r10	grep	completed	1	False
promptbs_hg1v2	disk-selfplan-r2	read	completed	18	True
promptbs_hg1v2	disk-selfplan-r2	edit	completed	1	True
promptbs_hg1v2	disk-selfplan-r2	write	completed	1	True
