task	pattern	trial	transition	gem	build	diff_files	diff_ins	test_pass	functional	score	correct	idiom	complete	testq
search	selfplan	search-selfplan-r1	self_exit	-	4m20s	0	0	yes	NO	1	1	1	1	1
search	selfplan	search-selfplan-r2	self_exit	-	8m20s	6	86	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r3	self_exit	-	3m20s	0	0	yes	NO	1	1	1	1	1
search	selfplan	search-selfplan-r4	self_exit	-	9m0s	6	74	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r5	self_exit	-	6m0s	5	84	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r1	self_exit	-	6m20s	5	37	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r2	self_exit	-	4m20s	5	44	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r3	self_exit	-	6m20s	5	42	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r4	self_exit	-	10m40s	5	45	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r5	self_exit	-	4m20s	5	62	yes	yes	5	5	5	5	5
page	selfplan	page-selfplan-r1	self_exit	pagy 43.4.4	22m40s	7	138	yes	NO	2	2	3	2	3
page	selfplan	page-selfplan-r2	self_exit	will_paginate	6m0s	6	40	yes	yes	4	5	5	4	2
page	selfplan	page-selfplan-r3	self_exit	will_paginate	22m0s	7	122	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r4	self_exit	pagy 8.6.3	31m40s	6	53	yes	NO	1	1	2	1	1
page	selfplan	page-selfplan-r5	self_exit	kaminari	4m20s	4	20	yes	yes	4	5	5	4	2
page	givenplan	page-givenplan-r1	self_exit	kaminari	10m0s	4	17	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r2	self_exit	kaminari	4m0s	4	19	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r3	self_exit	kaminari	6m0s	5	36	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r4	self_exit	kaminari	13m40s	4	18	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r5	self_exit	kaminari	4m20s	4	17	yes	yes	5	5	5	5	4
