blind_id	batch	group
006a90c35128db53	04	A
009c026edbc3f434	03	A
00a098e485bdb3e7	06	B
00bb9b5c82d9e635	02	A
013355b2733d1030	01	A
01d97056c2a7cadf	01	A
02b0739a88f76522	01	A
032cd7f487a5515e	05	B
042e2d2af5f5b798	07	B
05dc1cdd2966ef0c	11	C
0600ab55ed3b9c4f	09	C
077807e8f1f11ba9	02	A
07b1188a19cd64cd	06	B
08ead10597fea9d3	03	A
0a0ad57d72a70fb4	10	C
0a427502275831e4	03	A
0a59ade588a99ee9	06	B
0a95acb8ac9eff39	10	C
0c913e9aa5d17c7d	06	B
0cd4ac79ae682330	08	B
0d793f85e29ccace	01	A
0e71b20dc65bd053	10	C
0edd9671a55d6247	04	A
0fbc69afee28cf77	07	B
0fd395e3732362db	04	A
10949e648ccfeb7b	07	B
109f1b23cda106dd	10	C
10c166e803bae151	11	C
112fc364620fc5d6	01	A
1175493c6b1cb317	11	C
11d91f5948ac6e58	04	A
135a4015fc5805ae	08	B
13c4992e0a0dd126	08	B
17d2ad73f7ad5d8f	01	A
17e785407ebe2d34	05	B
1860aa802fa09c85	12	C
18ac5d03d1dc0006	01	A
18d4debb242cfb71	07	B
194ef73c28a7c371	11	C
197ad38ab847e9fb	12	C
19bcc2c1cf23cbc7	02	A
19f21ea42c13686f	12	C
1a70a5cedc2ae06e	06	B
1a74b62adf9436b3	03	A
1aa1145c611567df	02	A
1ac0b67faefc6ef5	05	B
1b8ddb20daa9b9a2	09	C
1c4b36864369590e	09	C
1e1aa8070f29f513	02	A
1eae62d0b95faad9	07	B
1edbfbe9f6dd3aa9	02	A
20b34b447177f13f	03	A
21beec940ab95be0	11	C
221ae9c2b0f57f06	05	B
22759648bce52b68	11	C
2315cbe7b8e4ca83	08	B
23d49c10ea7d4b4a	03	A
23dab4a32402837f	07	B
2442790e6b7a3a22	09	C
25769d8212231757	06	B
263f9ff7ef6c2fc6	10	C
26b0eaf567040715	12	C
26fb67fd3b308178	04	A
27900baa31dfcde8	02	A
2796845bae91b904	08	B
2845d01bcefc6665	05	B
2a9c5e3f2a297aaa	08	B
2bb82692563c434c	12	C
2d329565ba6acd09	12	C
2d59b80ba09f6a71	01	A
2de00e7db359e78c	07	B
2debb9f6f82fc101	11	C
2df093f66181ea2c	08	B
2df0d3df3447cc19	12	C
2df0f333d0d11a7d	10	C
2e2ca9d028d026f4	01	A
2edbe01dc606a266	08	B
2fbc6464f7823856	12	C
30096a101f8d899d	04	A
3214d2ae8862a4d4	03	A
32e8f698c9c6c92c	02	A
330ef53ca29eaaba	03	A
3322bd720fcab472	05	B
34018da9bf00ad6b	09	C
34e990387cbcfc15	03	A
34f8dd673039b8ba	06	B
35a0f69a21e5d864	10	C
3650192887714932	04	A
36cb464889dc2866	02	A
36de5bd43d0b38e1	07	B
37b6668270d71071	05	B
38a10043daf37238	09	C
3d8a5716eec3c58e	08	B
3de770fda7dd467a	11	C
3e17f28779dbee0b	01	A
3f1b220160703341	08	B
3f2bc8a843f24e63	03	A
4051894a2a66336d	12	C
40b1f7ee5a21dbe2	11	C
40e247bc29f689b0	02	A
419b641cf7f0fcd8	05	B
424a9304d5d4306b	05	B
427ae3255c7ef8d6	05	B
43ac489643a8c298	05	B
44505c95b0dc27da	09	C
4526c48896ba1db1	04	A
45e56a530c2baabd	09	C
47f0663551bcc9f0	05	B
4905b080d1a7f345	09	C
49fa860d87707d2e	12	C
4a587d52bc86a3bb	09	C
4a6c3b1e2a2f5863	01	A
4ac33ade58f677d6	03	A
4b9b7a5c8b38964a	09	C
4bc73414d1825452	04	A
4cafeeeadb1388fb	06	B
4cbe95e9aed8723c	10	C
4f9f37ca6ccea82f	02	A
5189d0710c9d2ecc	04	A
524ae228eb60883f	07	B
52a4bc37f3bc10f7	06	B
52b44301ab79668d	10	C
538dbe6f7a8004c1	06	B
559263512f20ae11	03	A
55f16bb0d474aece	03	A
57030acb3fa256ab	06	B
579a16c089ddd137	06	B
58b323420fea6ce1	11	C
58e113765d581b4f	10	C
591c9729b059fe0b	01	A
59df5bd744677b38	01	A
5a5b6c979e39c1f9	08	B
5ab5097146fc2f22	06	B
5b5392fbb5ef25f6	10	C
5b7e67ed6b0bd528	12	C
5c58ed797a262b9d	10	C
5dbc867ead610967	02	A
5fbe5be7699afaa8	05	B
603c2524e19587b0	06	B
6046c803b95224bf	09	C
61434fa3d2cb32fc	10	C
618400c42e482fbc	02	A
61dad611a3b0fa0c	07	B
626902381b0bd173	09	C
62ec570d0124ce90	03	A
6308a1ec9e94352b	11	C
632b9fc020e5da93	02	A
63fa8d649aec0a8b	04	A
64c3cd4a607c8887	04	A
64e0dbe3551db62d	04	A
651dfa4318cb1b22	06	B
68a3f1b753fc6c45	10	C
697790d7f0c78e7a	07	B
6a6f025e0aa465a1	07	B
6a9ac78f19e3760f	03	A
6ad8a239fd13800c	01	A
6b7da556b0e2f2be	07	B
6c6e47a9c9efa77e	04	A
6e85d8fe297dced3	07	B
7006e35a09d2c6bc	11	C
71e452ee393ccf2e	01	A
72c12ec95ac66cf8	10	C
72cf6551a118545a	07	B
73d540cab0fecfbf	08	B
74b87a5db28766bd	06	B
74f6a136c549089c	11	C
75170efa269d6fff	07	B
752263a879892406	03	A
76757a8da24fb84c	12	C
76deaccc73388c20	02	A
