blind_id	arm	rep	id
82e2b3d223ce	c2	1	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L4
3178f9ae70b9	c1	1	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L2
ca335f85919d	c0	2	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L4
884b65c02716	c1	1	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L4
c9889f5fae87	c2	3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L2
2719347071f3	c1	3	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L4
9d6346181e3f	c0	3	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L4
6e271c2a2845	c2	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L2
c13191c5e1d6	c1	2	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L1
8141e186cd44	c1	2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L2
7daf7d5fdb9e	c1	3	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#LA
dcc4de8c7d24	c2	2	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L4
e4982f7b3f34	c1	1	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L4
d4ee25be7a06	c2	1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#LA
098a9094d91a	c1	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L0
bd211949b621	c0	3	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#LA
cc10ce17fb84	c0	2	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L4
8ab7f7271244	c2	2	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#LA
5815c637ed5d	c0	1	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4
e011c18c9aa4	c1	3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2
49a0edcd54e8	c0	1	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L2
2d1738f3a0af	c0	1	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4
2578a72e7f16	c0	1	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L4
82bd8bf1251c	c0	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L0
a7bb79cb8866	c0	2	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4
42c23fe8ecda	c2	2	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L2
8a5afd17df83	c2	3	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L4
40eba0eae586	c1	3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L4
3202ed54b948	c2	1	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L2
13786a8f731e	c1	2	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L0
ceb3ea804dd2	c0	1	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L4
e35297678fc3	c0	1	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L0
685fb3400d55	c1	2	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#LA
34b05e7945b4	c1	2	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L4
ee42c23626dd	c0	2	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L1
ad8525eda02f	c1	1	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L2
83ca453b1b62	c2	3	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L2
db2586ddb504	c1	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L2
30580a30e90b	c2	2	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L0
745446f9b394	c1	3	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L0
57a0d305c415	c2	3	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#LA
a12485597051	c1	3	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L4
cb5e6b05c726	c2	2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L4
2b12a35ba2b8	c2	2	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L2
67dd9b33e79e	c0	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L0
bceb3f69e0ec	c1	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA
e1bec5c6e0ae	c0	3	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L1
663fb5bb8550	c2	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L0
43cccee40ab2	c0	3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2
de0c91dcf85d	c0	3	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L2
d554041e9a1d	c2	1	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L1
4f7088a05ddf	c2	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L4
8d741a8c061a	c2	2	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L4
71a2cf025008	c0	2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L0
fbe6b54d246a	c0	3	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#LA
980537d09ae2	c1	2	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L2
1f8a3b2a679a	c0	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L4
ac63c03f8164	c0	2	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L4
d4dfbf3b46ba	c2	1	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#LA
6a37a420c282	c1	1	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L1
98ef311e9e70	c0	1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L2
56543ad8dce5	c2	3	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L4
8245a36d1ed5	c2	1	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#LA
33ad2baae3a0	c2	2	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#LA
61944a87aab2	c2	3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L1
c24e0d7ec6d2	c2	3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#LA
30f611d4be26	c1	1	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L4
d9f231b564af	c0	1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L0
f2fd522f524a	c2	3	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#LA
1ad9273fabf6	c2	3	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#LA
c00c4e17631b	c1	1	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#LA
42089b925c78	c2	2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#LA
5661e971a384	c1	2	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4
6c25270b62be	c1	3	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L2
032de6ebdca9	c2	2	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L1
dcf48d606e56	c1	1	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L1
dce6e852dd7f	c2	1	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L2
2c98e907260a	c1	1	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4
80f1eba9a844	c1	2	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L2
886499cc2ff0	c0	2	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA
d5d706e0095d	c2	3	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L4
4b283e7d417b	c2	2	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L2
b87bc60d11c4	c1	3	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L4
