id	run	trial	idx	level	tool	live_action	stratum	relation_style	user_task_chars_logged	context_chars	args_preview_match	task_chars_match	prompt_chars	prompt_sha256	outside_rels
p6l3_main_j2_run1/p6l3-l1b-selfplan-r10#2	p6l3_main_j2_run1	p6l3-l1b-selfplan-r10	2	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2910	a2bded52f04ce5b5ecea3cd53c96ff8b7cc6a82d1977709e50543c6d6b8533ff	other_repo
p6l3_main_j2_run1/p6l3-l1b-selfplan-r3#4	p6l3_main_j2_run1	p6l3-l1b-selfplan-r3	4	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2907	cfc2da794448d2d91f57429f414a412aade311163751c2655dfcad867a1b54c9	other_repo
p6l3_main_j2_run1/p6l3-l1b-selfplan-r5#3	p6l3_main_j2_run1	p6l3-l1b-selfplan-r5	3	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2907	775d610dccf4d4cc944a7d3d691a497bc8039f0e6b85154526a535f27c5cd8a2	other_repo
p6l3_main_j2_run1/p6l3-l1b-selfplan-r6#2	p6l3_main_j2_run1	p6l3-l1b-selfplan-r6	2	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2907	190909516b4d4d585a5aecc3fad76167dd3822f33f451b1c4220ec47c16f6412	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#0	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	0	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2994	70b7f61d9fb56c99f8164e70206d51dc65cceb5e61c154b4b8b74f90ee581c95	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#2	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	2	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	b03e37885730285d5f35019a1c1b6c8b26b330db3aaabe744c5627368212db95	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#3	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	3	L2	bash	deny	L2_bash_deny	neutral	279	279	True	True	3059	37431527cf7d2863cbfb0111dc840953bd27c0b60ebe0ad4a610b54dadf68c21	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#15	p6l3_main_j2_run1	p6l3-l2r-selfplan-r10	15	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2909	9419ac2bfd85f582c2a8b122488aafdd14d43a3fc6f97554430ec908a3ec3aec	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#16	p6l3_main_j2_run1	p6l3-l2r-selfplan-r10	16	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2873	b0ad2b08087421f2fbd9663cbb52bbd09bcac3e3e120ca65d3de517c7494b4e2	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#3	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	3	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2906	ebd1492d4daf62d9ab539de7c74ebed0532fbacdbf23f5c582d8044454cefd9c	other_repo
